ts,rss_mb,cpu_pct,vm_pressure_flag,avail_mem_level,pageins_delta,pageouts_delta
1766543786.819655,102.14,50.1,1,73,54,0
1766543787.3573189,640.34,55.6,1,60,6585,0
1766543787.905003,640.34,15.1,1,57,37207,59
1766543788.448477,640.34,8.1,1,55,67511,59
1766543788.989269,640.34,7.9,1,52,97629,59
1766543789.5285451,640.34,7.5,1,49,128020,60
1766543790.071116,640.34,7.3,1,47,158471,60
1766543790.617451,640.34,7.8,1,44,189263,61
1766543791.1929102,640.34,8.5,1,41,220940,63
1766543791.741002,640.34,7.9,1,38,251551,67
1766543792.2868118,640.34,7.4,1,35,281423,71
1766543792.8265631,640.33,7.6,1,33,310118,71
1766543793.366847,640.33,7.4,1,30,339036,71
1766543793.919332,556.83,7.2,1,27,365977,71
1766543794.473879,556.83,6.8,1,23,391872,71
1766543795.021987,555.27,7.4,1,19,420828,74
1766543795.567335,564.78,51.0,1,18,428107,74
1766543796.109919,567.39,9.1,1,18,428162,74
1766543796.6635818,567.66,6.2,1,18,428219,74
1766543797.221218,568.09,5.1,1,18,428274,74
1766543797.7632818,568.33,2.4,1,18,428329,74
1766543798.3198762,568.47,4.9,1,18,428384,74
1766543798.85906,568.70,2.2,1,18,428440,74
1766543799.40435,568.89,2.2,1,18,428598,86
1766543799.945825,568.97,2.0,1,18,428654,86
1766543800.485878,569.06,2.1,1,18,428709,86
1766543801.028286,569.30,4.3,1,18,428766,88
1766543801.56922,569.47,2.2,1,18,428821,88
1766543802.1143239,569.56,3.9,1,18,428876,88
1766543802.6580899,569.66,2.2,1,18,428932,88
1766543803.203871,569.67,2.5,1,18,428988,88
1766543803.742549,569.75,2.1,1,18,429043,88
1766543804.282217,569.89,1.8,1,18,429098,88
1766543804.821205,569.94,2.5,1,18,429159,88
1766543805.369741,570.05,4.1,1,18,429215,88
1766543805.909732,570.09,2.2,1,18,429270,88
1766543806.4659998,570.22,4.6,1,18,429421,99
1766543807.0085142,570.33,2.3,1,18,429608,99
1766543807.5613801,570.45,4.2,1,18,429735,100
1766543808.102098,570.58,2.4,1,18,429790,100
1766543808.656769,570.62,5.3,1,18,429845,100
1766543809.2095559,570.64,5.3,1,18,430036,100
1766543809.761371,570.73,4.4,1,18,430095,100
1766543810.302057,570.80,2.6,1,18,430149,100
1766543810.853878,570.80,4.9,1,18,430204,100
